EVENT_ID,Parish/County,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,event_datetime_local,event_datetime_utc,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,EPISODE_ID,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,CITY/CITIES,STREET(S),Latitude,Longitude,Bayou/Creek/Stream Name,severity_category,severity_weight
9344,LAFOURCHE,GOLDEN MEADOW,2006-12-21,06:00,2006-12-21T06:00:00-06:00,2006-12-21T12:00:00+00:00,Flash Flood,0,0,$0,$0,,1902,0,0,Newspaper,Heavy Rain,0.0,N,0.0,N,LAROSE,2006-12-21,9:00,29.4,-90.28,29.57,-90.4,Heavy rainfall caused the flooding of a few homes in Golden Meadow and numerous roadways across central and southern areas of the parish.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,,,29.4,-90.28,,minor,1
9342,ORLEANS,NEW ORLEANS,2006-12-21,08:30,2006-12-21T08:30:00-06:00,2006-12-21T14:30:00+00:00,Flash Flood,0,0,$0,$0,,1902,0,0,Newspaper,Heavy Rain,0.0,N,0.0,N,NEW ORLEANS,2006-12-21,11:00,29.95,-90.1,29.95,-90.1,Heavy rainfall of 3 to 6 inches caused the flooding of three school and a few homes in the Carrollton and Broadmoor areas. Numerous roadways and a few vehicles were flooded.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,,,29.95,-90.1,,minor,1
9341,JEFFERSON,BRIDGE CITY,2006-12-21,08:30,2006-12-21T08:30:00-06:00,2006-12-21T14:30:00+00:00,Flash Flood,0,0,$0,$0,,1902,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,N,METAIRIE,2006-12-21,11:00,29.97,-90.22,29.98,-90.15,Heavy rainfall of 3 to 6 inches caused the flooding of three homes and a few businesses in Metairie and one home in Bridge City. Numerous roadways and a few vehicles were flooded.,Isolated severe thunderstorms and heavy rain occurred in advance of a cold front that moved across southeast Louisiana.,,,29.97,-90.22,,minor,1
9386,IBERVILLE,BAYOU SORREL,2006-12-30,10:30,2006-12-30T10:30:00-06:00,2006-12-30T16:30:00+00:00,Flash Flood,0,0,$0,$0,,1910,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,N,MARINGOUIN,2006-12-30,12:00,30.17,-91.33,30.48,-91.52,Heavy rainfall caused extensive flodding of roadways across much of the parish anf resulted in the flooding of at least one home.,Thunderstorms produced heavy rain during the morning hours as a warm front moved north across southeast Louisiana.,,,30.17,-91.33,,serious,3
9388,WEST BATON ROUGE,ERWINVILLE,2006-12-30,10:30,2006-12-30T10:30:00-06:00,2006-12-30T16:30:00+00:00,Flash Flood,0,0,$0,$0,,1910,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,N,ERWINVILLE,2006-12-30,12:30,30.53,-91.4,30.53,-91.4,Heavy rainfall resulted in the floodiing of some homes and numerous roadways.,Thunderstorms produced heavy rain during the morning hours as a warm front moved north across southeast Louisiana.,,,30.53,-91.4,,minor,1
10022,WASHINGTON,MT HERMON,2006-12-30,20:00,2006-12-30T20:00:00-06:00,2006-12-31T02:00:00+00:00,Flash Flood,1,0,$0,$0,,1910,0,0,Newspaper,Heavy Rain,0.0,N,0.0,N,MT HERMON,2006-12-30,23:45,30.95,-90.28,30.95,-90.28,Heavy rainfall caused flooding of several secondary and rural highways. A 57 year old woman was apparently drowned when her automobile was swept off a rural Martin Road by floodwaters from nearby Snell Creek.,Thunderstorms produced heavy rain during the morning hours as a warm front moved north across southeast Louisiana.,,,30.95,-90.28,,catastrophic,10
62297,TERREBONNE,GREENWOOD,2007-10-22,10:30,2007-10-22T10:30:00-05:00,2007-10-22T15:30:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Newspaper,Heavy Rain,0.42,NW,1.73,SSE,GROZIER,2007-10-22,19:00,29.6248,-90.9242,29.5221,-90.7141,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,29.6248,-90.9242,,severe,6
62296,LAFOURCHE,LEWISTOWN,2007-10-22,10:30,2007-10-22T10:30:00-05:00,2007-10-22T15:30:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Newspaper,Heavy Rain,2.69,S,1.84,S,THIBODAUX,2007-10-22,19:00,29.6916,-90.6125,29.7894,-90.8295,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,29.6916,-90.6125,,severe,6
62293,JEFFERSON,WEST BRIDGE JCT,2007-10-22,11:15,2007-10-22T11:15:00-05:00,2007-10-22T16:15:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Emergency Manager,Heavy Rain,1.53,SSW,1.47,N,(MSY)MOISANT FLD NEW,2007-10-22,19:00,29.8811,-90.2335,30.0358,-90.2472,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,29.8811,-90.2335,,severe,6
62292,ORLEANS,VIEUX CARRE,2007-10-22,11:15,2007-10-22T11:15:00-05:00,2007-10-22T16:15:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Official NWS Observations,Heavy Rain,3.59,NNW,1.72,NW,GENTILLY,2007-10-22,19:00,30.0144,-90.1112,30.0287,-90.0446,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,30.0144,-90.1112,,severe,6
62294,ST. CHARLES,GYPSY,2007-10-22,11:15,2007-10-22T11:15:00-05:00,2007-10-22T16:15:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Emergency Manager,Heavy Rain,1.97,NE,1.63,ENE,GOOD HOPE,2007-10-22,20:00,30.037,-90.4436,30.0097,-90.3516,The parish emergency management office reported at least 10 homes were flooded.,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,30.037,-90.4436,,minor,1
62302,HANCOCK,BAY ST LOUIS,2007-10-22,17:00,2007-10-22T17:00:00-05:00,2007-10-22T22:00:00+00:00,Flash Flood,0,0,$0,$0,,11335,0,0,Newspaper,Heavy Rain,1.17,WSW,1.7,NNW,KILN,2007-10-22,22:30,30.316,-89.3491,30.5244,-89.5029,,"Widespread heavy rain fell across across south Mississippi in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common across Pearl River and Hancock Counties. Street flooding was widespread and a number of vehicles, homes, and businesses were flooded. The worst flooding occurred in the Picayune area where 40 to 60 homes, 5 to 7 businesses, and 3 fire stations were flooded with four to six inches of water. In addition, passengers of a car had to be rescued after it overturned and became submerged in the flooded median of Interstate 59 near Picayune.",,,30.316,-89.3491,,severe,6
62300,ST. TAMMANY,HOULTONVILLE,2007-10-22,17:00,2007-10-22T17:00:00-05:00,2007-10-22T22:00:00+00:00,Flash Flood,0,0,$0,$0,,11334,0,0,Law Enforcement,Heavy Rain,1.85,ESE,3.18,N,BLOND,2007-10-22,21:00,30.3871,-90.1428,30.6686,-90.1236,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,,,30.3871,-90.1428,,severe,6
62301,PEARL RIVER,MILL CREEK,2007-10-22,16:45,2007-10-22T16:45:00-05:00,2007-10-22T21:45:00+00:00,Flash Flood,0,0,$0,$0,,11335,0,0,Newspaper,Heavy Rain,4.24,NNW,4.46,WNW,PICAYUNE ARPT,2007-10-22,22:30,30.7253,-89.7308,30.5481,-89.7638,"Signficant flooding occurred in the Picayune area where 40 to 60 homes, 5 to 7 businesses, and 3 fire stations were flooded with four to six inches of water. In addition, passengers of a car had to be rescued after it overturned and became submerged in the flooded median of Interstate 59 near Picayune.","Widespread heavy rain fell across across south Mississippi in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common across Pearl River and Hancock Counties. Street flooding was widespread and a number of vehicles, homes, and businesses were flooded. The worst flooding occurred in the Picayune area where 40 to 60 homes, 5 to 7 businesses, and 3 fire stations were flooded with four to six inches of water. In addition, passengers of a car had to be rescued after it overturned and became submerged in the flooded median of Interstate 59 near Picayune.",,,30.7253,-89.7308,,severe,6
96033,JEFFERSON,MARRERO,2008-04-26,15:00,2008-04-26T15:00:00-05:00,2008-04-26T20:00:00+00:00,Flash Flood,0,0,$0,$0,,16650,0,0,Newspaper,Heavy Rain,0.0,N,0.0,E,ESTELLE,2008-04-26,17:00,29.9,-90.1,29.85,-90.1,"Heavy rainfall amounts of up to 8 inches caused the flooding of numerous streets, several vehicles, and a few homes across sections of the westbank including the Marrero, Harvey, and Terrytown areas.",Scattered slow moving thunderstorms that developed in a very moist and unstable airmass produced locally heavy rainfall.,,,29.9,-90.1,,minor,1
96031,ORLEANS,ALGIERS,2008-04-26,03:00,2008-04-26T03:00:00-05:00,2008-04-26T08:00:00+00:00,Flash Flood,0,0,$0,$0,,16650,0,0,Newspaper,Heavy Rain,0.0,N,2.0,W,ALGIERS,2008-04-26,5:00,29.95,-90.05,29.95,-90.0542,"Heavy rainfall amounts of up to 8 inches caused the flooding of numerous streets, several vehicles, and a few homes in the Algiers area.",Scattered slow moving thunderstorms that developed in a very moist and unstable airmass produced locally heavy rainfall.,,,29.95,-90.05,,minor,1
104305,TANGIPAHOA,INDEPENDENCE,2008-05-02,17:30,2008-05-02T17:30:00-05:00,2008-05-02T22:30:00+00:00,Flash Flood,0,0,$0,$0,,17959,0,0,Law Enforcement,Heavy Rain,1.0,W,1.0,S,INDEPENDENCE,2008-05-02,20:30,30.63,-90.5168,30.6011,-90.5,Louisiana Highway 40 and a number of other roads were closed due to flooding from 6 to 10 inches of rain. A woman had to be rescued from a vehicle stranded in high water in the Loranger area.,Strong to severe thunderstorms developed and moved across southeast Louisiana as a couple of strong upper level disturbances and a cold front moved across the area.,,,30.63,-90.5168,,severe,6
105237,ST. TAMMANY,FOLSOM,2008-05-02,18:00,2008-05-02T18:00:00-05:00,2008-05-02T23:00:00+00:00,Flash Flood,0,0,$0,$0,,17959,0,0,Newspaper,Heavy Rain,3.0,N,3.0,W,FOLSOM,2008-05-02,21:00,30.6734,-90.2,30.63,-90.2505,Several roads were flooded in the Folsom area when 6 to 10 inches of rain fell across the area.,Strong to severe thunderstorms developed and moved across southeast Louisiana as a couple of strong upper level disturbances and a cold front moved across the area.,,,30.6734,-90.2,,minor,1
104496,TANGIPAHOA,HAMMOND,2008-05-14,16:00,2008-05-14T16:00:00-05:00,2008-05-14T21:00:00+00:00,Flash Flood,0,0,$0,$0,,17435,0,0,Newspaper,Heavy Rain,3.0,W,3.0,S,HAMMOND,2008-05-14,19:00,30.5,-90.5204,30.4566,-90.47,Several inches of rain flooded numerouos streets and a number of homes in the Hammond area. Fourteen people had to be rescued from the high water.,Widespread heavy rainfall and strong to severe thunderstorms affected much of southeast Louisiana over a two day period. The adverse weather was the result of a series of strong upper level disturbances moving across the lower Mississippi Valley in advance of a strong and slow southward moving cold front.,,,30.5,-90.5204,,severe,6
102344,TERREBONNE,SCHRIEVER,2008-05-22,13:15,2008-05-22T13:15:00-05:00,2008-05-22T18:15:00+00:00,Flash Flood,0,0,$0,$0,,17702,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,N,DONNER,2008-05-22,15:00,29.75,-90.82,29.7,-90.97,Heavy rainfall resulted in the flooding of 15 to 20 homes across northern Terrebonne Parish.,Isolated strong to severe thunderstorms that produced heavy rain developed in a moist and unstable atmosphere as an upper level disturbance moved across the Gulf Coast region.,,,29.75,-90.82,,minor,1
102360,ST. CHARLES,DES ALLEMANDS,2008-05-22,15:20,2008-05-22T15:20:00-05:00,2008-05-22T20:20:00+00:00,Flash Flood,0,0,$0,$0,,17702,0,0,Emergency Manager,Heavy Rain,2.0,W,2.0,S,DES ALLEMANDS,2008-05-22,17:00,29.83,-90.5034,29.8011,-90.47,Heavy rainfall flooded 5 homes.,Isolated strong to severe thunderstorms that produced heavy rain developed in a moist and unstable atmosphere as an upper level disturbance moved across the Gulf Coast region.,,,29.83,-90.5034,,minor,1
120505,ORLEANS,ALGIERS,2008-06-15,08:30,2008-06-15T08:30:00-05:00,2008-06-15T13:30:00+00:00,Flash Flood,0,0,$0,$0,,20197,0,0,Emergency Manager,Heavy Rain,0.0,N,1.0,S,VIEUX CARRE,2008-06-15,11:30,29.95,-90.05,29.9193,-90.08,Heavy rainfall of 4 to 5 inches from a thunderstorm resulted in significant street flooding and made some roadways impassable. Numerous vehicles received flood damage. A few businesses took on water.,Scattered strong thunderstorms produced locally heavy rainfall.,,,29.95,-90.05,,serious,3
120500,JEFFERSON,JEFFERSON,2008-06-15,08:30,2008-06-15T08:30:00-05:00,2008-06-15T13:30:00+00:00,Flash Flood,0,0,$0,$0,,20197,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,NE,TERRYTOWN,2008-06-15,11:30,29.97,-90.15,29.88,-90.07,Heavy rainfall of 4 to 6 inches from a thunderstorm resulted in widespread street flooding and the closing of some roadways. Numerous vehicles were flooded. At least 34 residences reported some damage from the flooding.,Scattered strong thunderstorms produced locally heavy rainfall.,,,29.97,-90.15,,severe,6
120491,ST. CHARLES,DESTREHAN,2008-06-17,15:30,2008-06-17T15:30:00-05:00,2008-06-17T20:30:00+00:00,Flash Flood,0,0,$0,$0,,20193,0,0,Emergency Manager,Heavy Rain,0.0,N,0.0,S,NORCO,2008-06-17,17:00,29.97,-90.38,29.9855,-90.42,"Significant street flooding was observed in Destrehan, Montz and Norco. A protion of Ormond Boulevard was closed due to high water.",Isolated strong to severe thunderstorms developed over southeast Louisiana.,,,29.97,-90.38,,moderate,2
133947,TERREBONNE,HOUMA,2008-08-17,17:00,2008-08-17T17:00:00-05:00,2008-08-17T22:00:00+00:00,Flash Flood,0,0,$0,$0,,22858,0,0,Newspaper,Heavy Rain,1.21,W,1.52,ESE,SOUTHDOWN,2008-08-17,19:00,29.6003,-90.7402,29.5757,-90.7402,"A thunderstorm produced heavy rainfall of two to three inches in a short period of time resulting in widespread street flooding in areas of Houma. In addition, a number of homes experienced minor flooding, primarily in the Broadmoor subdivision.",Scattered strong thunderstorms developed in a moist and unstable atmosphere.,,,29.6003,-90.7402,,severe,6
151403,ST. CHARLES,AMA,2009-01-03,21:00,2009-01-03T21:00:00-06:00,2009-01-04T03:00:00+00:00,Flash Flood,0,0,$0,$0,,25927,0,0,Newspaper,Heavy Rain,0.0,N,0.77,N,NEW SARPY,2009-01-03,23:00,29.95,-90.3,29.9523,-90.3701,"Heavy rainfall of 6 to 8 inches in a little over two hours resulted in widespread street flooding in the Ama, Hahnville, Destrehan, St. Rose and New Sarpy areas. A dozen homes received minor flooding.",Isolated strong to severe thunderstorms developed over southeast Louisiana in a moist and unstable atmosphere as a strong upper level storm system affected the lower Mississippi Valley.,,,29.95,-90.3,,severe,6
160987,TERREBONNE,HOUMA,2009-03-27,03:15,2009-03-27T03:15:00-05:00,2009-03-27T08:15:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Emergency Manager,Heavy Rain,0.0,N,0.5,NE,BOURG,2009-03-27,8:15,29.6,-90.72,29.5538,-90.6159,Widespread and severe flooding occurred in many areas of Terrebonne Parish. It was estimated that around 240 homes and businesses were flooded. Numerous roads around the parish were flooded.,Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.6,-90.72,,severe,6
160988,LAFOURCHE,RACELAND,2009-03-27,02:25,2009-03-27T02:25:00-05:00,2009-03-27T07:25:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Emergency Manager,Heavy Rain,0.0,N,0.75,W,LEWISTOWN,2009-03-27,6:25,29.73,-90.6,29.7283,-90.6661,"Widespread and severe flooding occurred in areas of Lafourche Parish due to heavy rain. It was estimated that around 150 homes and businesses flooded. Most of the flooded structures had 2 to 5 inches of water in them; however, a few had up to 18 inches of water. Lockport had 8 businesses, 51 homes, and some apartment complexes flooded. Bayou blue had 25 homes flooded. Mathews had 20 homes flooded.",Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.73,-90.6,,severe,6
160990,PLAQUEMINES,BELLE CHASSE,2009-03-27,04:45,2009-03-27T04:45:00-05:00,2009-03-27T09:45:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Law Enforcement,Heavy Rain,0.0,N,1.05,W,(NBG)NAS NEW ORLEANS,2009-03-27,6:45,29.87,-89.98,29.8216,-90.0155,Some homes and a number of vehicles were flooded due to heavy rain.,Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.87,-89.98,,minor,1
160994,JEFFERSON,WESTWEGO,2009-03-27,04:15,2009-03-27T04:15:00-05:00,2009-03-27T09:15:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Emergency Manager,Heavy Rain,0.0,N,0.53,ESE,WESTWEGO ARPT,2009-03-27,6:15,29.9,-90.13,29.8764,-90.1215,Heavy rainfall flooded numerous roadways and some homes and vehicles on the Westbank of Jefferson Parish.,Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.9,-90.13,,minor,1
160992,ST. BERNARD,CHALMETTE,2009-03-27,04:45,2009-03-27T04:45:00-05:00,2009-03-27T09:45:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Law Enforcement,Heavy Rain,0.0,N,1.17,E,ARABI,2009-03-27,6:45,29.93,-89.97,29.9466,-89.9801,Heavy rainfall flooded a number of roadways and vehicles around Chalmette.,Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.93,-89.97,,minor,1
160989,ORLEANS,ALGIERS,2009-03-27,04:45,2009-03-27T04:45:00-05:00,2009-03-27T09:45:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Broadcast Media,Heavy Rain,1.19,W,2.41,SSW,GENTILLY,2009-03-27,6:45,29.9475,-90.0697,30.0001,-90.0381,Many streets were flooded due to heavy rain and numerous vehicles were under water.,Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.9475,-90.0697,,minor,1
160995,ST. CHARLES,DESTREHAN,2009-03-27,03:15,2009-03-27T03:15:00-05:00,2009-03-27T08:15:00+00:00,Flash Flood,0,0,$0,$0,,27411,0,0,Emergency Manager,Heavy Rain,0.0,N,0.18,ESE,LULING ARPT,2009-03-27,5:15,29.97,-90.38,29.927,-90.3835,"Heavy rainfall resulted in major street flooding around Destrehan, Luling, and St. Rose.",Several episodes of widespread severe weather and heavy rainfall occurred from March 26th through the 28th as a series of strong upper air disturbances impacted the central gulf region as a meandering and nearly stationary frontal boundary drifted back and forth across the area.,,,29.97,-90.38,,minor,1
